DateTimeHOBO_UTC,Temp_Inc,Light_Inc,,,,,
2/3/2020 9:24,7.08,0, , , , , 
2/3/2020 9:29,7.08,0, , , , , 
2/3/2020 9:34,7.08,0, , , , , 
2/3/2020 9:39,7.08,0, , , , , 
2/3/2020 9:44,7.08,0, , , , , 
2/3/2020 9:49,7.08,0, , , , , 
2/3/2020 9:54,7.08,0, , , , , 
2/3/2020 9:59,7.12,0, , , , , 
2/3/2020 10:04,7.08,0, , , , , 
2/3/2020 10:09,7.08,0, , , , , 
2/3/2020 10:14,7.12,0, , , , , 
2/3/2020 10:19,7.12,0, , , , , 
2/3/2020 10:24,7.16,0, , , , , 
2/3/2020 10:29,7.12,0, , , , , 
2/3/2020 10:34,7.12,0, , , , , 
2/3/2020 10:39,7.16,0, , , , , 
2/3/2020 10:44,7.16,0, , , , , 
2/3/2020 10:49,7.16,0, , , , , 
2/3/2020 10:54,7.16,0, , , , , 
2/3/2020 10:59,7.16,0, , , , , 
2/3/2020 11:04,7.12,0, , , , , 
2/3/2020 11:09,7.12,0, , , , , 
2/3/2020 11:14,7.12,0, , , , , 
2/3/2020 11:19,7.12,0, , , , , 
2/3/2020 11:24,7.16,0, , , , , 
2/3/2020 11:29,7.16,0, , , , , 
2/3/2020 11:34,7.16,0, , , , , 
2/3/2020 11:39,7.12,15, , , , , 
2/3/2020 11:44,7.08,196, , , , , 
2/3/2020 11:49,7.16,206, , , , , 
2/3/2020 11:54,7.16,203, , , , , 
2/3/2020 11:59,7.12,230, , , , , 
2/3/2020 12:04,7.12,281, , , , , 
2/3/2020 12:09,7.08,333, , , , , 
2/3/2020 12:14,7.08,350, , , , , 
2/3/2020 12:19,7.12,274, , , , , 
2/3/2020 12:24,7.16,357, , , , , 
2/3/2020 12:29,7.12,357, , , , , 
2/3/2020 12:34,7.2,371, , , , , 
2/3/2020 12:39,7.12,423, , , , , 
2/3/2020 12:44,7.12,483, , , , , 
2/3/2020 12:49,7.16,522, , , , , 
2/3/2020 12:54,7.16,823, , , , , 
2/3/2020 12:59,7.2,691, , , , , 
2/3/2020 13:04,7.2,921, , , , , 
2/3/2020 13:09,7.29,"2,004", , , , , 
2/3/2020 13:14,7.29,"2,611", , , , , 
2/3/2020 13:19,7.42,"6,226", , , , , 
2/3/2020 13:24,7.5,"7,959", , , , , 
2/3/2020 13:29,7.55,"9,641", , , , , 
2/3/2020 13:34,7.63,"9,446", , , , , 
2/3/2020 13:39,7.81,"9,454", , , , , 
2/3/2020 13:44,8.15,"17,562", , , , , 
2/3/2020 13:49,7.76,"11,924", , , , , 
2/3/2020 13:54,7.76,"8,927", , , , , 
2/3/2020 13:59,7.63,"8,282", , , , , 
2/3/2020 14:04,7.63,"7,104", , , , , 
2/3/2020 14:09,7.68,"9,152", , , , , 
2/3/2020 14:14,7.89,"18,053", , , , , 
2/3/2020 14:19,7.93,"13,614", , , , , 
2/3/2020 14:24,7.85,"11,868", , , , , 
2/3/2020 14:29,8.02,"17,961", , , , , 
2/3/2020 14:34,8.06,"15,662", , , , , 
2/3/2020 14:39,8.15,"14,746", , , , , 
2/3/2020 14:44,8.62,"15,539", , , , , 
2/3/2020 14:49,8.15,"10,214", , , , , 
2/3/2020 14:54,8.53,"35,123", , , , , 
2/3/2020 14:59,8.19,"8,069", , , , , 
2/3/2020 15:04,8.15,"11,735", , , , , 
2/3/2020 15:09,8.19,"10,762", , , , , 
2/3/2020 15:14,8.23,"13,522", , , , , 
2/3/2020 15:19,8.36,"12,636", , , , , 
2/3/2020 15:24,8.66,"66,355", , , , , 
2/3/2020 15:29,8.75,"9,964", , , , , 
