cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,wsw,N,65%,a,c,>0&<200,152,6,0.813376915,2.21629417,236,124,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,wsw,N,65%,b,a,>0&<200,152,6,0.813376915,2.21629417,203,124,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,wsw,N,65%,b,b,>0&<200,152,6,0.813376915,2.21629417,223,123,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,wsw,N,65%,b,c,>0&<200,152,6,0.813376915,2.21629417,209,112,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,dil,N,65%,a,a,>10&<200,152,6,0.813376915,2.21629417,43.5,24.1,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,dil,N,65%,a,b,>10&<200,152,6,0.813376915,2.21629417,52.4,26.8,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,dil,N,65%,a,c,>10&<200,152,6,0.813376915,2.21629417,48.8,25.1,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,dil,N,65%,b,a,>10&<200,152,6,0.813376915,2.21629417,49.4,25.2,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,dil,N,65%,b,b,>10&<200,152,6,0.813376915,2.21629417,49.1,24.9,0.9165,0.899,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,TF,dil,N,65%,b,c,>10&<200,152,6,0.813376915,2.21629417,48.1,24.9,0.9165,0.899,,,,,,,,
